What is this event ?	わっついずでぃすいべんと	Robocup	このイベントは何？	このいべんとはなに	このいべんとはなに？
What're your name ?	わっつゆあねーむ	Rione	あなたの名前は？	あなたのなまえは	あなたのなまえは？
What day is it today ?	わっつでいいずいっつとぅでい	September Five	今日は何月何日？	きょうはなんがつなんにち	きょうはなんがつなんにち？
How are you ?	はうあーゆー	I’m fine	今日の気分は？	きょうのきぶんは	きょうのきぶんは？
What are you doing now ?	わっつあーゆーどーいんぐなう	I’m working now			
Can you help me ?	きゃんゆーへるぷみー	Yes of cource			
Do you like Japanese ?	どぅーゆーらいくじゃぱにーず	Yes			
Did you sleep last night ?	でぃじゅーすりーぷらすとないと	No			
Do you play video games ?	どぅーゆーぷれいびでおげーむ	Yes			
How is the weather today ?	はういずざうぇざーとぅでい	It’s sunny			
Can you play baseball ?	きゃんゆーぷれいべーすぼーる	No			
Where were you born ?	うぇあーわーゆーぼーん	I’m from japan			
Do you have time now ?	どぅーゆーはぶたいむなう	Yes I’m free			
What are interested in ?	わっつあーゆーいんたれすてぃっどいん	I'm interested in human			
Have you ever been to japan ?	はぶーゆーえばーびーんとぅじゃぱん	yes I'm from japan			
How did you come here ?	はうでぃじゅーかむひあー	by the train			
What is your team's home city ?	わっついずゆあーちーむずほーむしてぃー	My team's home city is Kusatsu city.			
What color is the jam ?	わっつからーいずざじゃむ	It is red.			
What is the taste of jam ?	わっついずざてーすつおぶじゃむ	It is sweet.			
How many objects are in the bookcase ?	はうめにーおぶじぇくつあーいんざぶっくけーす	Three.			
Which is the lightest snack ?	うぃっちいずざらいてすとすなっく	It is the biscuit.			
How many chairs are in the kitchen ?	はうめにーちぇあーずあーいんざきっちん	There are four chairs in the kitchen.			
Where is located the desk ?	うぇあーいずろけーてぃっどざですく	It is in the kitchen.			
Who invented the C programing language ?	ふーいんべんてぃっどざしーぷろぐらみんぐらんぐえーじ	Dennis.			
What is the highest mountain in Japan ?	わっついずざはいえすとまうんてんいんじゃぱん	Mount Fuji.			
Which city are we in ?	うぃっちしてぃあーうぃーいん	Kusatsu.			
Yes.	いぇす	Yes			
Yes it is.	いぇすいてぃいず	Yes			
That’s right !	ざっつらいつ	Yes			
No.	のー	No			
No it isn’t.	のーいてぃいずんつ	No			
That’s wrong !	ざっつろんぐ	No			
Change Language	ちぇんじらんぐえいじ	Change Language			
a	えー	Trash			
b	びー	Trash			
c	しー	Trash			
d	でぃー	Trash			
e	いー	Trash			
f	えふ	Trash			
g	じー	Trash			
h	えいち	Trash			
i	あい	Trash			
j	じぇー	Trash			
k	けー	Trash			
l	える	Trash			
m	えむ	Trash			
n	えぬ	Trash			
o	おー	Trash			
p	ぴー	Trash			
q	きゅー	Trash			
r	あーる	Trash			
s	えす	Trash			
t	てぃー	Trash			
u	ゆー	Trash			
v	ぶい	Trash			
w	だぶる	Trash			
x	えっくす	Trash			
y	わい	Trash			
z	ぜっと	Trash			
a	あ	Trash			
i	い	Trash			
u	う	Trash			
e	え	Trash			
o	お	Trash			
ka	か	Trash			
ki	き	Trash			
ku	く	Trash			
ke	け	Trash			
ko	こ	Trash			
sa	さ	Trash			
si	し	Trash			
su	す	Trash			
se	せ	Trash			
so	そ	Trash			
ta	た	Trash			
ti	ち	Trash			
tu	つ	Trash			
te	て	Trash			
to	と	Trash			
na	な	Trash			
ni	に	Trash			
nu	ぬ	Trash			
ne	ね	Trash			
ha	は	Trash			
hi	ひ	Trash			
hu	ふ	Trash			
he	へ	Trash			
ho	ほ	Trash			
ma	ま	Trash			
mi	み	Trash			
mu	む	Trash			
me	め	Trash			
mo	も	Trash			
ya	や	Trash			
yu	ゆ	Trash			
yo	よ	Trash			
ra	ら	Trash			
ri	り	Trash			
ru	る	Trash			
re	れ	Trash			
ro	ろ	Trash			
wa	わ	Trash			
wo	を	Trash			
nn	ん	Trash			
ga	が	Trash			
gi	ぎ	Trash			
gu	ぐ	Trash			
ge	げ	Trash			
go	ご	Trash			
za	ざ	Trash			
zi	じ	Trash			
zu	ず	Trash			
ze	ぜ	Trash			
zo	ぞ	Trash			
da	だ	Trash			
di	ぢ	Trash			
du	づ	Trash			
de	で	Trash			
to	ど	Trash			
ba	ば	Trash			
bi	び	Trash			
bu	ぶ	Trash			
be	べ	Trash			
bo	ぼ	Trash			
pa	ぱ	Trash			
pi	ぴ	Trash			
pu	ぷ	Trash			
pe	ぺ	Trash			
po	ぽ	Trash			
kya	きゃ	Trash			
kyu	きゅ	Trash			
kyo	きょ	Trash			
sya	しゃ	Trash			
syu	しゅ	Trash			
syo	しょ	Trash			
tya	ちゃ	Trash			
tyu	ちゅ	Trash			
tyo	ちょ	Trash			
nya	にゃ	Trash			
nyu	にゅ	Trash			
nyo	の	Trash			
hya	ひゃ	Trash			
hyu	ひゅ	Trash			
hyo	ひょ	Trash			
mya	みゃ	Trash			
myu	みゅ	Trash			
myo	みょ	Trash			
rya	りゃ	Trash			
ryu	りゅ	Trash			
ryo	りょ	Trash			
gya	ぎゃ	Trash			
gyu	ぎゅ	Trash			
gyo	ぎょ	Trash			
zya	じゃ	Trash			
zyu	じゅ	Trash			
zyo	じょ	Trash			
dya	ぢゃ	Trash			
dyu	ぢゅ	Trash			
dyo	ぢょ	Trash			
bya	びゃ	Trash			
byu	びゅ	Trash			
byo	びょ	Trash			
pya	ぴゃ	Trash			
pyu	ぴゅ	Trash			
pyo	ぴょ	Trash			
					
pyo	ぴょ	Trash			
